lname,start,end,Econ PhD,JD,School,Born
kugler,9-13-2023,,1,0,UC Berkley,
barr,7-19-2022,,0,1,,
jefferson,5-23-2022,,1,0,UVA,
cook,5-23-2022,,1,0,UC Berkley,
waller,12-18-2020,,1,0,Washington State,
bowman,11-26-2018,,0,1,,
clarida,9-17-2018,1-14-2022,1,0,Harvard,
quarles,9-17-2017,12-25-2021,0,1,,
brainard,6-16-2014,2-18-2023,1,0,Harvard,
fischer,5-28-2014,10-16-2017,1,0,MIT,
stein,5-30-2012,5-28-2014,1,0,MIT,
powell,5-25-2012,,0,1,,
raskin,10-4-2010,3-13-2014,0,1,,
tarullo,1-28-2009,4-5-2017,0,1,,
duke,8-5-2008,8-31-2013,0,0,,
mishkin,9-5-2006,8-31-2008,1,0,MIT,
kroszner,3-1-2006,1-21-2009,1,0,Harvard,
warsh,2-24-2006,4-2-2011,0,1,,
kohn,8-5-2002,9-1-2010,1,0,Michigan,
bernanke,8-5-2002,6-21-2005,1,0,MIT,
bernanke,2-1-2006,1-31-2014,1,0,MIT,
olson,12-7-2001,6-3-2006,0,0,,
bies,12-7-2001,3-30-2007,1,0,Northwestern,
gramlich,11-5-1997,8-31-2005,1,0,Yale,
ferguson,11-5-1997,4-28-2006,1,1,Harvard,
rivlin,6-25-1996,7-16-1999,1,0,Radcliffe,
meyer,6-24-1996,1-31-2002,1,0,MIT,
yellen,8-12-1994,2-17-1997,1,0,Yale,
yellen,10-4-2010,2-3-2018,1,0,Yale,
blinder,6-27-1994,1-31-1996,1,0,MIT,
phillips,12-2-1991,6-30-1998,1,0,LSU,
lindsey,11-26-1991,2-5-1997,1,0,Harvard,
mullins,5-21-1990,2-14-1994,1,0,MIT,
laware,8-15-1988,4-30-1995,0,0,,
greenspan,8-11-1987,1-31-2006,1,0,NYU,
kelley,5-26-1987,1-31-2001,0,0,,01-27-1932
