Name,Bank,In,Out,Interim,Econ PhD,JD,School,Born
Frank E. Morris,Boston,08/15/1968,12-31-1988,,1,0,Michigan,12-30-1923
Richard F. Syron,Boston,01/01/1989,03-31-1994,,1,0,Tufts,
Cathy E. Minehan,Boston,07/13/1994,07-20-2007,,0,0,,
Eric Rosengren,Boston,07/20/2007,09-30-2021,,1,0,Wisconsin,
Anthony M. Solomon,New York,04/01/1980,01-01-1985,,0,0,,01-27-1919
E. Gerald Corrigan,New York,01/01/1985,07-19-1993,,1,0,Fordham,06-13-1941
William J. McDonough,New York,07/19/1993,06-11-2003,,0,0,,04-21-1934
Jamie B. Stewart,New York,06/11/2003,11-17-2003,1,,,,
Timothy F. Geithner,New York,11/17/2003,01-27-2009,,0,0,,
William C. Dudley,New York,01/27/2009,06-17-2018,,1,0,UC Berkeley,
John C. Williams,New York,06/18/2018,,,1,0,Stanford,
William F. Ford,Atlanta,08/01/1980,10-01-1983,,1,0,Michigan,
Robert P. Forrestal,Atlanta,12/07/1983,01-01-1996,,0,1,,10-31-1931
Jack Guynn,Atlanta,01/01/1996,10-01-2006,,0,0,,
Dennis Lockhart,Atlanta,03/01/2007,02-28-2017,,0,0,,
Raphael Bostic,Atlanta,06/05/2017,,,1,0,Stanford,
Silas Keehn,Chicago,07/01/1981,08-31-1994,,0,0,,06-30-1930
Michael H. Moskow,Chicago,09/01/1994,08-31-2007,,1,0,Upenn,
Charles L. Evans,Chicago,09/01/2007,01-08-2023,,1,0,Carnegie Mellon,
Karen N. Horn,Cleveland,05/01/1982,04-08-1987,,1,0,Johns Hopkins,
W. Lee Hoskins,Cleveland,09/21/1987,11-15-1991,,1,0,UC LA,
Jerry L. Jordan,Cleveland,03/10/1992,01-31-2003,,1,0,UC LA,
Sandra Pianalto,Cleveland,02/01/2003,05-31-2014,,0,0,,
Loretta J. Mester,Cleveland,06/01/2014,,,1,0,Princeton,
Robert H. Boykin,Dallas,01/01/1981,01-31-1991,,0,1,,01-10-1926
Robert D. McTeer Jr.,Dallas,02/01/1991,11-01-2004,,1,0,Georgia,
Helen Holcomb,Dallas,11/05/2004,04-03-2005,1,,,,
Richard W. Fisher,Dallas,04/04/2005,03-19-2015,,0,0,,
Helen Holcomb,Dallas,03/20/2015,09-07-2015,1,,,,
Robert S. Kaplan,Dallas,09/08/2015,10-08-2021,,0,0,,
Roger Guffey,Kansas City,03/01/1976,10-01-1991,,0,1,,09-11-1929
Thomas M. Hoenig,Kansas City,10/01/1991,09-30-2011,,1,0,Iowa State,
Esther George,Kansas City,10/01/2011,01-31-2023,,0,0,,
E. Gerald Corrigan,Minneapolis,08/01/1980,12-31-1984,,1,0,Fordham,06-13-1941
Gary H. Stern,Minneapolis,03/21/1985,09-01-2009,,1,0,Rice,
Narayana Kocherlakota,Minneapolis,10/08/2009,12-31-2015,,1,0,Chicago,
Neel Kashkari,Minneapolis,01/01/2016,,,0,0,,
Edward G. Boehne,Philadelphia,02/01/1981,05-31-2000,,1,0,Indiana,
Anthony M. Santomero,Philadelphia,07/10/2000,03-31-2006,,1,0,Brown,
Charles I. Plosser,Philadelphia,08/01/2006,02-28-2015,,1,0,Chicago,
Patrick T. Harker,Philadelphia,07/01/2015,,,0,0,,
Robert P. Black,Richmond,08/06/1973,12-31-1992,,1,0,Virginia,
J. Alfred Broaddus Jr.,Richmond,01/01/1993,07-31-2004,,1,0,Indiana,
Jeffrey M. Lacker,Richmond,08/01/2004,04-01-2017,,1,0,Wisconsin,
Mark L. Mullinix,Richmond,04/01/2017,12-31-2017,1,,,,
Thomas I. Barkin,Richmond,01/01/2018,,,0,1,,
John J. Balles,San Francisco,09/25/1972,02-01-1986,,1,0,Ohio State,01-07-1921
Robert T. Parry,San Francisco,02/04/1986,06-01-2004,,1,0,Upenn,
Janet L. Yellen,San Francisco,06/14/2004,10-04-2010,,1,0,Yale,
John C. Williams,San Francisco,03/01/2011,06-17-2018,,1,0,Stanford,
Lawrence K. Roos,St. Louis,03/22/1976,01-31-1983,,0,0,,02-01-1918
Theodore H. Roberts,St. Louis,02/01/1983,12-31-1984,,0,0,,
Thomas C. Melzer,St. Louis,06/01/1985,01-30-1998,,0,0,,
William Poole,St. Louis,03/23/1998,01-31-2008,,1,0,Chicago,
James Bullard,St. Louis,04/01/2008,08-14-2023,,1,0,Indiana,
