,datecode,type,start_phrase,end_phrase,,
0,19860212,FOMC2,,,,
1,19860212,FOMC1,,,,
2,19860401,FOMC2,,,,
3,19860401,FOMC1,,,,
4,19860520,FOMC2,,,,
5,19860520,FOMC1,,,,
6,19860709,FOMC1,,,,
7,19860709,FOMC2,,,,
8,19860819,FOMC1,,,,
9,19860819,FOMC2,,,,
10,19860923,FOMC1,,,,
11,19860923,FOMC2,,,,
12,19861105,FOMC1,,,,
13,19861105,FOMC2,,,,
14,19861216,FOMC1,,,,
15,19861216,FOMC2,,,,
16,19870211,FOMC1,,,,
17,19870211,FOMC2,,,,
18,19870331,FOMC2,,,,
19,19870331,FOMC1,,,,
20,19870519,FOMC2,,,,
21,19870519,FOMC1,,,,
22,19870707,FOMC1,,,,
23,19870707,FOMC2,,,,
24,19870818,FOMC2,,,,
25,19870818,FOMC1,,,,
26,19870922,FOMC2,,,,
27,19870922,FOMC1,,,,
28,19871103,FOMC2,,,,
29,19871103,FOMC1,,,,
30,19871216,FOMC2,,,,
31,19871216,FOMC1,,,,
32,19880210,FOMC2,,,,
33,19880210,FOMC1,,,,
34,19880329,FOMC2,,,,
35,19880329,FOMC1,,,,
36,19880517,FOMC1,,,,
37,19880517,FOMC2,,,,
38,19880630,FOMC2,,,,
39,19880630,FOMC1,,,,
40,19880816,FOMC1,,,,
41,19880816,FOMC2,,,,
42,19880920,FOMC1,,,,
43,19880920,FOMC2,,,,
44,19881101,FOMC2,,,,
45,19881101,FOMC1,,,,
46,19881214,FOMC1,,,,
47,19881214,FOMC2,,,,
48,19890208,FOMC2,,,,
49,19890208,FOMC1,,,,
50,19890328,FOMC1,,,,
51,19890328,FOMC2,,,,
52,19890516,FOMC2,,,,
53,19890516,FOMC1,,,,
54,19890706,FOMC1,,,,
55,19890706,FOMC2,,,,
56,19890822,FOMC2,,,,
57,19890822,FOMC1,,,,
58,19891003,FOMC1,,,,
59,19891003,FOMC2,,,,
60,19891114,FOMC2,,,,
61,19891114,FOMC1,,,,
62,19891219,FOMC2,,,,
63,19891219,FOMC1,,,,
64,19900207,FOMC1,,,,
65,19900207,FOMC2,,,,
66,19900327,FOMC1,,,,
67,19900327,FOMC2,,,,
68,19900515,FOMC1,,,,
69,19900515,FOMC2,,,,
70,19900703,FOMC2,,,,
71,19900703,FOMC1,,,,
72,19900821,FOMC2,,,,
73,19900821,FOMC1,,,,
74,19901002,FOMC1,,,,
75,19901002,FOMC2,,,,
76,19901113,FOMC2,,,,
77,19901113,FOMC1,,,,
78,19901218,FOMC1,,,,
79,19901218,FOMC2,,,,
80,19910206,FOMC1,,,,
81,19910206,FOMC2,,,,
82,19910326,FOMC1,,,,
83,19910326,FOMC2,,,,
84,19910514,FOMC1,,,,
85,19910514,FOMC2,,,,
86,19910703,FOMC2,,,,
87,19910703,FOMC1,,,,
88,19910820,FOMC1,,,,
89,19910820,FOMC2,,,,
90,19911001,FOMC1,,,,
91,19911001,FOMC2,,,,
92,19911105,FOMC1,,,,
93,19911105,FOMC2,,,,
94,19911217,FOMC1,,,,
95,19911217,FOMC2,,,,
96,19920205,FOMC2,,,,
97,19920205,FOMC1,,,,
98,19920331,FOMC2,,,,
99,19920331,FOMC1,,,,
100,19920519,FOMC2,,,,
101,19920519,FOMC1,,,,
102,19920701,FOMC2,,,,
103,19920701,FOMC1,,,,
104,19920818,FOMC2,,,,
105,19920818,FOMC1,,,,
106,19921006,FOMC2,,,,
107,19921006,FOMC1,,,,
108,19921117,FOMC2,,,,
109,19921117,FOMC1,,,,
110,19921222,FOMC1,,,,
111,19921222,FOMC2,,,,
112,19930203,FOMC1,,,,
113,19930203,FOMC2,,,,
114,19930323,FOMC2,,,,
115,19930323,FOMC1,,,,
116,19930518,FOMC1,,,,
117,19930518,FOMC2,,,,
118,19930707,FOMC1,,,,
119,19930707,FOMC2,,,,
120,19930817,FOMC2,,,,
121,19930817,FOMC1,,,,
122,19930921,FOMC2,,,,
123,19930921,FOMC1,,,,
124,19931116,FOMC2,,,,
125,19931116,FOMC1,,,,
126,19931221,FOMC1,,,,
127,19931221,FOMC2,,,,
128,19940204,FOMC2,,,,
129,19940204,FOMC1,,,,
130,19940322,FOMC2,,,,
131,19940322,FOMC1,,,,
132,19940517,FOMC2,,,,
133,19940517,FOMC1,,,,
134,19940706,FOMC2,,,,
135,19940706,FOMC1,,,,
136,19940816,FOMC1,,,,
137,19940816,FOMC2,,,,
138,19940927,FOMC1,,,,
139,19940927,FOMC2,,,,
140,19941115,FOMC1,,,,
141,19941115,FOMC2,,,,
142,19941220,FOMC1,,,,
143,19941220,FOMC2,,,,
144,19950201,FOMC2,,,,
145,19950201,FOMC1,,,,
146,19950328,FOMC2,,,,
147,19950328,FOMC1,,,,
148,19950523,FOMC2,,,,
149,19950523,FOMC1,,,,
150,19950706,FOMC2,,,,
151,19950706,FOMC1,,,,
152,19950822,FOMC1,,,,
153,19950822,FOMC2,,,,
154,19950926,FOMC1,,,,
155,19950926,FOMC2,,,,
156,19951115,FOMC2,,,,
157,19951115,FOMC1,,,,
158,19951219,FOMC2,,,,
159,19951219,FOMC1,,,,
160,19960131,FOMC2,,,,
161,19960131,FOMC1,,,,
162,19960326,FOMC1,,,,
163,19960326,FOMC2,,,,
164,19960521,FOMC2,,,,
165,19960521,FOMC1,,,,
166,19960703,FOMC2,,,,
167,19960703,FOMC1,,,,
168,19960820,FOMC2,,,,
